Rank ,Name,Networth,Age
173,Colin Zheng Huang ,11.3,42
173,Jin Baofang ,11.3,69
173,Pierre Omidyar ,11.3,54
173,Gennady Timchenko ,11.3,69
177,Carl Cook ,11.1,59
177,Andrey Melnichenko ,11.1,50
179,Xing Wang ,11,43
180,Philip Anschutz ,10.9,82
180,David Cheriton ,10.9,71
180,Alexander Otto ,10.9,54
183,Diane Hendricks ,10.7,75
183,Stanley Kroenke ,10.7,74
185,Jerry Jones ,10.6,79
185,Quek Leng Chan ,10.6,80
185,Eduardo Saverin ,10.6,40
188,Vagit Alekperov ,10.5,71
188,Richard Liu ,10.5,48
188,Idan Ofer ,10.5,66
191,Melker Schorling & family ,10.4,74
192,"Chase Coleman, III. ",10.3,46
192,Shuirong Li ,10.3,65
192,Stefano Pessina ,10.3,80
192,Mikhail Prokhorov ,10.3,56
192,Marcel Herrmann Telles ,10.3,72
197,Leon Black ,10,70
197,Joe Gebbia ,10,40
197,David Geffen ,10,79
197,Yu Renrong ,10,56
